List,Name,ID,FeatureType
Alcohol_preference_MP0001987,Slc29a1,ENSMUSG00000023942,Gene Expression
Alcohol_preference_MP0001987,Crhr1,ENSMUSG00000018634,Gene Expression
Alcohol_preference_MP0001987,Ccl2,ENSMUSG00000035385,Gene Expression
Alcohol_preference_MP0001987,Prkcg,ENSMUSG00000078816,Gene Expression
Alcohol_preference_MP0001987,Faah,ENSMUSG00000034171,Gene Expression
Alcohol_preference_MP0001987,Eps8,ENSMUSG00000015766,Gene Expression
Alcohol_preference_MP0001987,Trpv1,ENSMUSG00000005952,Gene Expression
Alcohol_preference_MP0001987,Gpr26,ENSMUSG00000040125,Gene Expression
Alcohol_preference_MP0001987,Gabrb1,ENSMUSG00000029212,Gene Expression
Alcohol_preference_MP0001987,Slc6a1,ENSMUSG00000030310,Gene Expression
Alcohol_preference_MP0001987,Unc79,ENSMUSG00000021198,Gene Expression
